Team,Finish,TourneyWins,Result,Seed,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,eFGPct,TOPct,ORPct,FTRate,OppeFGPct,OppTOPct,OppORPct,OppFTRate,FG2Pct,FG3Pct,FTPct,BlockPct,OppFG2Pct,OppFG3Pct,OppFTPct,OppBlockPct,FG3Rate,OppFG3Rate,ARate,OppARate,StlRate,OppStlRate
2003 Arkansas St.,DNQ,0,0,0,66.4087,66.5387,106.56,107.819,105.166,107.317,0.502675,50.5626,19.8893,32.4719,39.1702,51.2987,23.4636,37.3045,51.5661,47.2895,37.1171,73.7882,4.9482,49.4822,36.5909,69.9259,8.1892,39.0295,33.6134,50.3247,50.423,0.1072,0.0871
2003 Army,DNQ,0,0,0,63.2585,62.3014,84.9545,85.7084,106.231,111.418,-25.7098,47.395,27.5125,26.4429,26.6387,51.5439,20.4125,33.4168,43.2304,44.0722,35.7488,67.5079,5.6022,46.6387,38.6157,70.5128,11.3402,34.7899,43.4679,59.7959,59.4495,0.0881,0.1128
2003 Auburn,5. Sweet 16,3,2,10,68.1467,66.7988,102.385,107.32,96.5955,94.4324,12.8881,51.8437,23.3848,36.8692,35.333,47.8377,22.8948,35.6834,29.5782,51.8139,34.6084,66.9782,13.8539,46.7674,33.1378,68.4116,7.7287,30.2146,36.4122,51.7119,52.8736,0.1149,0.1154
2003 Austin Peay,7. First Round,1,1,13,66.9257,64.2385,102.385,101.166,99.1226,98.0055,3.16008,50.8219,22.4295,31.4564,45.8904,48.6588,20.3904,32.8522,32.252,50.8718,33.8144,68.9552,11.6742,46.4253,35.743,68.472,9.4359,33.2192,31.0667,56.5152,54.7033,0.102,0.1025
2003 Ball St.,DNQ,0,0,0,70.2937,70.1456,103.584,106.689,107.782,106.816,-0.126444,47.3264,18.1665,34.9398,36.6042,52.0396,20.573,34.3798,51.4833,46.9559,32.2,72.5904,5.7242,52.4718,33.9785,71.6687,4.7184,27.5634,28.7392,40.4884,57.7982,0.0736,0.0797
2003 Baylor,DNQ,0,0,0,67.7951,65.783,101.433,106.542,101.033,100.566,5.97579,48.5222,19.5551,32.4786,30.234,49.6966,21.6053,35.0716,25.7282,46.1975,34.1857,72.5051,7.0339,50.0847,32.4786,65.3302,9.7616,45.7512,28.3981,60.2118,52.0861,0.1225,0.082
2003 Belmont,DNQ,0,0,0,69.4108,67.3033,103.486,103.178,100.922,103.084,0.0944686,54.0444,24.1539,32.8013,34.5727,49.6217,21.6061,32.2933,35.1198,53.2967,36.7576,70.1887,4.6287,48.9875,33.8798,72.8905,12.3077,40.6393,34.6154,66.2465,59.7983,0.1294,0.1305
2003 Bethune Cookman,DNQ,0,0,0,68.7118,67.1178,93.7925,89.4864,105.491,111.974,-22.488,46.4222,23.0627,34.4633,33.0352,52.6654,23.9348,37.3347,41.1152,43.5363,35.7741,69.3141,4.8561,52.8777,34.8077,69.7466,8.9241,28.5033,31.8627,47.0418,53.0559,0.1197,0.1119
2003 Binghamton,DNQ,0,0,0,68.0911,66.1739,97.4217,96.75,96.7025,100.339,-3.58918,48.737,22.0666,32.6009,27.9793,45.1997,20.436,34.4495,34.6005,46.4286,34.9662,67.5926,15.5694,43.0605,33.8785,71.5084,8.5084,38.342,27.5773,52.8505,48.1717,0.0946,0.0875
2003 Birmingham Southern,DNQ,0,0,0,65.6173,63.5021,103.585,100.469,98.7245,107.288,-6.81917,52.0093,23.9018,33.8262,44.6677,48.8586,23.0209,33.8332,36.6716,51.026,35.524,72.3183,10.6625,46.7909,35.9694,71.2851,8.8919,43.5085,28.866,60.733,49.4098,0.1204,0.1063
2003 Boise St.,DNQ,0,0,0,68.3029,66.8024,94.83,95.9641,96.2416,97.9749,-2.01083,45.6771,20.7069,30.9381,37.1901,47.8731,24.2009,32.6733,41.7286,46.1326,29.7741,69.7436,9.9628,46.4618,34.398,73.7864,10.4972,30.9599,27.4814,50.4644,45.5399,0.0951,0.0945
2003 Boston College,DNQ,0,0,0,69.7927,67.911,112.222,117.913,107.56,104.603,13.3094,52.0011,18.7569,38.4721,42.1309,49.9734,19.8443,38.78,35.3691,52.0548,34.5794,69.1913,6.875,49.1406,34.4942,72.8228,8.5236,28.9346,32.0234,60.069,56.5114,0.096,0.0988
2003 Boston University,DNQ,0,0,0,65.9498,64.4276,102.472,102.761,95.1278,99.2264,3.5351,48.8523,20.1784,32.8401,34.7852,45.1415,19.5935,30.014,45.0799,47.7231,33.9434,74.4501,9.605,45.1526,30.0781,67.1214,9.0164,35.3737,31.4883,57.6923,55.86,0.0858,0.1038
2003 Bowling Green,DNQ,0,0,0,67.5943,66.2091,97.9299,98.8259,103.886,100.487,-1.66152,50.3446,24.6474,28.2346,49.8469,50.3156,21.4159,33.9068,45.5119,47.8673,36.5801,73.7327,7.3118,49.5699,34.4758,72.7273,10.0711,35.3752,34.7826,60.0349,55.2215,0.1057,0.1194
2003 Bradley,DNQ,0,0,0,70.1248,68.7345,102.045,103.349,101.85,101.251,2.09811,49.2696,19.9391,30.5927,41.3268,52.3559,22.3163,29.5908,35.8959,47.1631,35.9223,70.3976,4.7898,51.0264,36.4407,70.8117,9.0426,31.3451,36.5778,50.7671,59.4301,0.1048,0.0864
2003 Brown,DNQ,0,0,0,70.3119,70.6025,104.478,105.936,101.598,104.718,1.2177,52.195,21.906,29.4023,45.7069,51.2382,21.4698,32.8411,30.8373,50.9653,36.4522,74.435,9.5588,52.5735,32.5658,70.5545,7.529,33.1181,35.8491,58.8811,54.2857,0.1086,0.11
2003 Bucknell,DNQ,0,0,0,63.6254,63.4128,91.2456,91.1532,93.0424,96.9618,-5.80861,46.6185,24.877,29.7479,46.2766,49.0217,23.9223,28.007,32.6087,44.2446,33.8174,63.711,6.5789,47.0395,35.2564,68.4444,7.7938,36.6261,33.913,61.4662,57.2391,0.091,0.1196
2003 Buffalo,DNQ,0,0,0,67.7625,66.8919,95.6725,95.6086,106.751,105.746,-10.1372,44.9351,21.4359,36.0899,33.1069,52.7145,19.4776,33.6639,47.9893,45.4216,29.2636,67.1642,5.6475,53.3593,34.1935,62.7095,8.6129,31.8715,31.1662,54.2945,57.9915,0.0958,0.1053
2003 Butler,5. Sweet 16,3,2,12,59.6995,58.7876,113.482,115.085,99.9479,99.7088,15.3765,55.6487,17.3765,28.6805,32.5264,49.7273,19.97,34.5114,28.1818,53.4128,39.0988,71.7557,4.9028,48.6898,34.9036,66.2366,9.7508,42.7064,28.303,54.0682,42.8958,0.1037,0.0814
2003 BYU,7. First Round,1,1,12,66.1048,65.663,109.293,110.537,95.6204,92.3283,18.2088,52.63,20.5256,34.3113,45.6469,45.6734,21.8468,29.5383,46.3742,49.0265,40.2672,73.9073,7.2566,44.4248,32.2896,70.0394,6.8142,31.6808,31.1395,55.9477,51.2744,0.1048,0.0816
2003 Cal Poly,DNQ,0,0,0,68.5216,69.265,97.6761,98.2943,98.8803,99.8171,-1.52285,48.0884,22.7866,32.267,34.9462,46.6259,21.6855,34.8408,37.1728,48.5075,31.5615,71.9658,9.0625,45.625,33.0296,70.4225,6.4366,35.9618,25.5381,53.0986,52.9492,0.1001,0.1115
2003 Cal St. Fullerton,DNQ,0,0,0,60.9814,59.917,100.343,101.429,106.381,109.074,-7.64485,48.5353,21.225,37.095,37.6831,54.4876,22.5516,33.3927,39.5053,47.3255,34.5865,64.841,5.0605,51.4851,39.9209,69.9463,6.2557,26.5646,35.7597,51.3636,59.1045,0.0951,0.0835
2003 Cal St. Northridge,DNQ,0,0,0,68.3776,67.8891,100.006,100.562,100.711,103.255,-2.69278,50.2955,24.4902,34.6052,39.4616,50.5923,24.3368,32.5013,50.7317,49.0403,35.343,70.5491,5.9893,50.3743,34,69.5055,7.1977,31.5824,34.8432,52.4229,55.3822,0.1222,0.113
2003 California,6. Second Round,2,1,8,69.6353,66.1487,105.448,109.401,98.8111,95.8149,13.5863,52.0352,19.7701,32.8511,33.0583,49.5585,21.0058,31.8286,30.3532,50.3882,37.3585,68.0532,7.526,48.8754,33.8415,68.1818,6.4441,29.1529,36.2031,57.6151,63.1512,0.0934,0.0819
2003 Campbell,DNQ,0,0,0,68.099,66.5347,94.0649,92.2432,113.794,116.857,-24.6134,50.1108,23.4102,25.0147,35.3028,56.287,21.226,39.5572,30.1514,48.8739,34.9785,69.8745,6.8467,54.3877,40.249,70.7424,8.8964,34.4165,31.7314,63.1491,62.1372,0.0902,0.1423
2003 Canisius,DNQ,0,0,0,70.7964,68.6271,99.543,99.281,100.618,103.193,-3.91186,48.8124,20.3213,32.5074,27.1971,47.2172,20.2199,35.4031,35.7869,47.7102,34.3685,70.524,8.5432,44.7842,34.7048,69.2308,8.4097,28.6817,33.453,59.2693,55.0578,0.1155,0.1019
2003 Centenary,DNQ,0,0,0,72.1719,68.9452,100.445,103.302,107.933,111.662,-8.35974,49.145,22.3299,33.6915,40.6691,54.3015,23.8918,41.3307,41.3971,49.5584,31.9018,76.9653,8.9627,52.4673,39.5095,69.0941,8.9303,24.2379,26.9853,47.4548,56.7568,0.1122,0.085
2003 Central Connecticut,DNQ,0,0,0,64.633,61.6797,104.567,101.261,104.011,109.295,-8.03403,51.3185,23.9197,38.5256,33.6714,52.652,20.3842,32.6622,23.5446,49.4444,37.594,74.8996,4.4074,53.2811,34.2857,68.956,6.0185,26.9777,33.9586,46.9298,50.5525,0.0895,0.0994
2003 Central Michigan,6. Second Round,2,1,11,72.7987,71.9146,108.796,109.867,100.509,99.5025,10.3641,56.5974,25.2949,35.6253,46.9762,50.4185,22.4002,33.8297,37.3884,56.0842,38.4191,76.3329,8.7693,48.7841,37.0115,71.0448,7.9597,33.2315,24.2746,57.9075,45.6865,0.0993,0.1185
2003 Charleston Southern,DNQ,0,0,0,66.5215,65.0919,97.0229,94.1634,97.8355,103.527,-9.36369,47.6955,21.7028,32.1965,29.6089,49.8516,25.1296,33.4334,40.2077,49.6738,27.8552,74.5283,9.1309,47.1947,36.9021,68.6347,9.6925,25.0698,32.5668,51.1848,53.1303,0.1451,0.1017
2003 Charlotte,DNQ,0,0,0,67.6302,65.8984,98.9169,104.798,101.339,98.5239,6.27427,46.2443,19.8386,35.674,33.6583,51.3514,22.4371,31.8295,30.774,43.8095,33.2853,63.3731,5.6785,47.5457,38.7097,70.8583,9.3333,39.7936,36.1794,60.9262,54.8476,0.1229,0.076
2003 Chattanooga,DNQ,0,0,0,71.8661,69.3471,110.875,110.525,104.301,107.535,2.99013,54.3843,22.8373,38.0139,39.801,52.8211,21.6484,32.8817,29.4118,53.8905,36.8607,75.9375,8.4601,51.9962,36.1564,72.8571,8.3573,35.2612,36.8547,58.8312,60.3381,0.0991,0.1115
2003 Chicago St.,DNQ,0,0,0,67.46,65.7999,93.2372,93.3801,110.641,111.527,-18.1464,47.7771,25.6709,35.7744,37.5078,54.0252,20.6153,35.3435,47.4843,47.2089,33.2362,61.7696,4.8497,53.6372,36.4937,70.3311,8.3732,21.4778,35.1572,51.4164,66.1823,0.106,0.1212
2003 Cincinnati,7. First Round,1,1,8,67.404,66.3686,100.765,105.459,92.6958,90.1252,15.3334,43.668,15.7196,33.1418,34.9686,45.6975,20.584,31.8826,38.3964,39.8305,34.3805,69.0049,12.0192,42.5962,34.8178,66.893,7.3729,32.6868,32.2034,53.5232,56.0976,0.0773,0.0614
2003 Clemson,DNQ,0,0,0,66.2893,63.6906,103.346,107.367,102.806,101.831,5.53681,48.5171,20.2868,37.8811,40.3611,50.1297,21.7397,34.8274,34.1115,47.3322,34.7044,65.655,7.9399,49.1416,34.4262,68.6312,7.6592,25.0806,39.559,51.2409,60.6287,0.1071,0.1049
2003 Cleveland St.,DNQ,0,0,0,67.6268,66.2006,96.0682,97.6923,107.22,105.901,-8.20924,50.3571,25.4131,32.3238,41.1688,51.9591,21.0719,38.2222,36.0234,47.9774,37.1069,65.9306,10.9016,49.0984,39.3878,68.0195,7.9962,30.974,28.655,59.0975,58.0808,0.1034,0.1224
2003 Coastal Carolina,DNQ,0,0,0,67.4612,65.4484,99.6626,98.2842,102.846,109.119,-10.8344,48.8104,24.8549,38.8139,33.7999,49.5297,20.8827,33.6566,46.2373,46.1538,36.8675,73.2919,4.1247,49.6982,32.732,70.1095,8.8757,29.0413,28.0753,51.2077,46.6989,0.0925,0.1379
2003 Colgate,DNQ,0,0,0,67.1375,66.2481,98.158,97.5213,100.76,105.313,-7.79173,49.182,21.3019,30.7306,26.7212,51.5107,22.3899,31.4091,38.4672,47.3523,35.2577,68.8776,4.5738,51.4553,34.4304,69.7318,8.3503,33.0607,29.1083,57.0755,50.7132,0.1025,0.1014
2003 College of Charleston,DNQ,0,0,0,69.6633,66.7468,104.052,102.821,97.2434,99.9538,2.86759,51.6508,20.0778,29.4221,34.1914,46.8925,22.1406,34.9644,36.2822,47.109,38.7978,68.0851,10.5178,47.0065,31.0909,69.5988,9.4787,40.9625,30.7951,57.3624,56.383,0.1031,0.0972
2003 Colorado,7. First Round,1,1,10,71.8548,69.8746,104.476,109.283,97.2061,93.4129,15.8705,48.4176,19.4535,37.7897,38.7443,45.5941,17.4081,32.0199,29.604,48.201,32.716,66.9302,15.3515,42.8264,34.5048,68.3946,7.1283,24.8086,30.9901,48.7917,52.7675,0.0853,0.084
2003 Colorado St.,7. First Round,1,1,14,68.3241,67.1579,107.759,111.597,106.412,105.323,6.27421,54.0816,23.6055,36.2334,46.3822,49.4941,17.8332,34.2884,39.4042,54.0905,36.0335,70.4,10.2665,48.6677,34.3936,69.3295,7.9428,22.1398,28.2743,58.3951,50.6297,0.0774,0.1314
2003 Columbia,DNQ,0,0,0,60.6616,60.0506,82.0367,82.9693,102.138,105.767,-22.7977,42.8222,28.0993,29.4985,35.2365,49.6215,21.4554,32.6353,39.2884,41.3127,30.2895,67.1296,11.1779,46.5144,36.6053,70.3276,11.8404,36.6232,37.0174,56.674,61.8375,0.0853,0.1524
2003 Connecticut,5. Sweet 16,3,2,5,73.461,71.1085,108.2,111.73,97.0242,93.3341,18.3956,51.6286,20.9649,40.0905,35.7803,42.718,17.8697,35.396,32.282,49.5804,38.5827,67.663,16.6667,40.7631,31.4199,73.1322,8.9735,24.6962,30.705,52.0747,54.3452,0.0792,0.1028
2003 Coppin St.,DNQ,0,0,0,60.2578,59.5495,95.5198,94.2891,101.941,107.542,-13.2526,48.2963,24.4584,32.5168,32.5185,52.4229,24.282,35.1006,31.7915,45.0677,39.2405,73.1207,7.2864,47.1106,39.9293,68.8222,6.6731,23.4074,41.5565,43.7288,54.7421,0.1205,0.1141
2003 Cornell,DNQ,0,0,0,64.9543,64.9623,92.4353,92.7032,104.802,107.676,-14.9724,48.6983,23.7861,28.5543,34.3798,52.0685,22.0702,34.5643,33.2382,47.7521,33.5404,63.6971,6.6345,50.0603,36.6492,65.4506,9.7205,36.9832,40.8702,60.7207,65.76,0.1124,0.113
2003 Creighton,7. First Round,1,1,6,69.2061,68.4145,113.937,113.03,92.8474,94.7202,18.3096,56.6973,19.5446,33.9691,34.6626,47.8446,24.4096,32.196,30.6546,55.7403,38.961,69.3215,10.9286,46.6429,34.238,70.1389,6.8092,35.4294,25.4923,58.7269,51.4076,0.1193,0.0939
2003 Dartmouth,DNQ,0,0,0,61.0114,60.5454,95.8318,95.8343,104.397,108.135,-12.3011,49.5342,20.0896,21.7553,29.1149,50.2274,20.2762,32.8087,36.467,46.0432,35.7504,70.4,7.7987,49.1824,34.542,72.7651,8.9209,46.0404,39.7271,66.1654,60.6643,0.0983,0.1107
2003 Davidson,DNQ,0,0,0,74.1398,70.386,102.827,103.063,98.9732,101.324,1.73974,52.9244,25.3264,34.6803,32.4536,47.1419,19.2324,31.1484,32.3916,49.1061,39.0764,77.3626,4.0415,45.285,33.5727,69.3712,9.2968,40.1569,36.5966,60.7595,54.6474,0.0755,0.118
2003 Dayton,7. First Round,1,1,4,64.5776,64.3077,112.331,116.878,102.019,101.035,15.8425,51.9841,20.3739,40.4277,40.9646,48.0565,18.2184,34.218,30.8009,50.8458,35.861,71.386,7.4897,44.9383,37.2671,71.7017,8.2587,38.6447,28.4452,61.2466,49.5868,0.0816,0.0898
2003 Delaware,DNQ,0,0,0,69.7989,69.0084,97.5968,99.7174,97.1175,100.14,-0.422855,46.7132,19.0303,28.7996,31.6463,47.7259,21.0849,32.2455,36.8102,44.603,33.7793,70.5882,8.9109,46.6172,33.8673,67.0511,11.1508,34.7877,26.5009,57.9772,52.1739,0.113,0.0905
2003 Delaware St.,DNQ,0,0,0,60.4968,59.2699,101.635,98.1624,102.453,108.899,-10.7369,50.7452,22.3801,35.9875,34.5008,49.2262,22.6227,39.7396,37.8777,48.2517,36.7769,68.6825,9.4693,48.283,34.3434,68.8716,6.993,36.0656,29.182,55.4054,47.1667,0.111,0.1013
2003 Denver,DNQ,0,0,0,68.6293,67.3454,102.318,102.524,99.0608,99.9524,2.57123,47.4501,19.099,33.2923,33.4385,50.2528,20.8557,29.4414,35,44.4912,34.9229,72.7987,4.0412,50.317,33.3977,67.5762,8.9151,37.4869,29.1011,58.2262,49.0099,0.1014,0.0878
2003 DePaul,DNQ,0,0,0,66.7636,65.672,100.497,105.344,96.6167,94.6692,10.6752,48.358,22.059,38.4817,40.0515,45.073,19.3016,28.9527,34.4891,47.737,33.5079,71.865,5.5089,43.1373,32.4607,70.3704,8.7959,24.5976,34.854,54.8763,62.1914,0.0848,0.1001
2003 Detroit,DNQ,0,0,0,65.3922,64.4842,108.646,109.555,99.5957,99.062,10.4934,52.1834,19.0715,35.1262,34.1235,48.9298,21.5545,31.7359,38.9967,52.2449,34.6561,70.3839,7.839,45.5508,36.4791,72.3842,6.7755,23.5808,36.8562,50.3243,53.4073,0.0977,0.0703
2003 Drake,DNQ,0,0,0,63.5441,62.3695,99.2322,101.844,107.919,107.919,-6.07562,50.5531,22.376,27.9589,41.7404,52.8724,17.6565,28.0996,32.7989,50,34.4595,73.1449,4.3647,51.8914,36.6953,73.9308,9.1009,32.7434,31.1289,58.7849,51.5581,0.0605,0.0994
2003 Drexel,DNQ,0,0,0,68.2832,67.5887,99.9118,102.084,94.5369,96.8739,5.20964,48.5105,19.75,31.0248,33.6449,46.6901,21.8799,32.0186,31.5173,47.1813,34.1682,67.3611,11.9149,46.383,31.5789,67.8439,9.3669,32.6519,31.1658,60.2721,54.1374,0.1055,0.0871
2003 Duke,5. Sweet 16,3,2,3,73.2713,71.0877,111.275,116.213,95.6622,93.4116,22.8018,51.4387,19.0602,36.973,45.2802,47.5436,24.4234,34.452,37.5594,49.8854,36.3095,71.2375,12.544,46.5116,33.7553,70.0422,10.2368,33.9223,25.0396,49.3868,48.7805,0.1176,0.085
2003 Duquesne,DNQ,0,0,0,69.8479,68.0355,94.7036,99.6501,103.843,103.434,-3.78403,49.8423,26.95,33.3333,38.5489,50.9763,21.9383,36.0607,40.6509,47.6827,36.7171,68.9034,9.5964,47.5336,38.4348,69.5779,9.7148,29.2114,34.0237,52.9078,56.1917,0.0946,0.1154
2003 East Carolina,DNQ,0,0,0,65.712,65.266,95.3806,99.7587,100.578,99.1878,0.570946,44.2623,19.5086,34.3011,34.3549,47.0547,17.7407,30.4,29.0323,45.7426,26.972,69.0871,9.5789,45.3684,33.6134,73.913,6.9307,28.0114,33.3801,52.4648,51.0998,0.0725,0.0793
2003 East Tennessee St.,7. First Round,1,1,15,77.7306,75.186,102.081,101.21,99.2088,100.466,0.744035,49.7672,23.8531,37.2366,40.6286,49.6583,24.2194,36.1802,33.3713,48.9985,34.7619,73.7822,12.1972,48.0368,35.4204,72.3549,10.0154,24.447,31.8337,49.3606,60.9314,0.1378,0.1067
2003 Eastern Illinois,DNQ,0,0,0,72.4177,69.8432,106.531,107.085,107.847,108.229,-1.14427,49.5568,17.8057,32.6813,32.1884,53.1322,20.2208,34.8917,35.8621,47.0085,37.2587,76.2478,4.9747,52.2766,36.6426,67.4679,7.4592,28.6981,31.8391,58.1454,60.8748,0.0886,0.0862
2003 Eastern Kentucky,DNQ,0,0,0,73.8047,71.3781,101.389,99.6893,109.586,110.435,-10.7459,49.338,20.1436,30.1919,37.77,54.328,21.5016,34.5812,52.6196,49.5146,32.5926,69.3727,6.4309,52.09,39.8438,72.7273,8.835,28.223,29.1572,53.1153,60.0939,0.1064,0.0968
2003 Eastern Michigan,DNQ,0,0,0,73.7526,72.8703,103.219,104.116,107.414,107.786,-3.6701,50.2321,20.5131,34.2887,49.7347,52.4688,19.4225,34.8125,36.375,51.9599,30.4136,64.4,6.9492,53.2203,33.5714,67.8694,8.3865,27.2546,26.25,55.1079,48.1144,0.0815,0.1059
2003 Eastern Washington,DNQ,0,0,0,69.6726,68.087,99.6788,102.673,94.5196,97.2832,5.38983,51.4639,24.1903,30.7312,45.7384,48.1973,24.0475,31.9676,44.0228,51.0545,35.0877,73.6842,7.2137,47.3399,33.4746,68.3908,7.2935,25.9597,29.8545,61.5811,48.0234,0.109,0.119
2003 Elon,DNQ,0,0,0,64.4831,63.3257,95.4286,92.9476,105.104,107.642,-14.6939,46.4576,24.7,37.3969,33.7269,51.7255,21.4067,33.3549,41.4902,45.7256,32.3782,65.8643,7.5206,50.5288,36.0849,74.1021,9.9404,25.7565,33.2549,49.9127,51.6295,0.1104,0.1275
2003 Evansville,DNQ,0,0,0,67.1198,67.6024,103.457,106.105,109.484,107.45,-1.34491,54.2569,23.6146,30.1714,45.0938,52.3412,18.3198,32.2598,39.8974,52.3268,39.1408,72.96,9.7636,48.7153,38.9078,69.2926,6.9286,30.2309,37.5882,65.8209,58.547,0.08,0.1138
2003 Fairfield,DNQ,0,0,0,71.3078,69.0316,98.4007,99.1574,96.57,98.0451,1.11225,48.284,23.5094,34.6667,46.1539,45.7627,20.8623,32.0755,36.5227,47.8873,33.0097,72.4359,13.2435,44.9643,31.6901,74.5509,9.3897,24.3787,31.0552,53.7433,53.4137,0.1054,0.1135
2003 Fairleigh Dickinson,DNQ,0,0,0,70.0278,68.0748,101.648,97.3218,104,109.194,-11.8722,51.0386,20.5622,28.7407,32.5223,51.6706,23.3199,38.5991,35.7995,49.7972,35.1931,70.438,5.9079,52.3023,33.5238,70.1667,10.0406,41.4837,31.3246,55.2239,56.1697,0.0842,0.0958
2003 FIU,DNQ,0,0,0,63.5582,61.6371,92.8761,95.1589,100.714,101.405,-6.24604,44.3228,24.5387,39.17,42.6813,52.1183,24.5387,32.8605,41.271,43.7722,30.7692,61.0577,6.8924,49.0931,37.8229,69.3805,6.8505,23.119,39.5909,44.6309,58.7561,0.1199,0.0967
2003 Florida,6. Second Round,2,1,2,67.4128,65.2411,111.288,117.327,95.2392,93.6932,23.6341,55.3071,19.6425,33.037,33.028,47.4441,22.0587,33.1333,28.2748,53.1668,39.0476,70.31,10.1236,46.5997,32.8767,65.1601,9.8127,39.6013,31.0969,61.3817,59.7484,0.1114,0.0926
